Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-12-02,1,1,"[-0.5263738036155701, 0.22232136130332947, -0.1310410499572754, 0.813401997089386, 0.1125740334391594]",1.4841536724567415,0.01842384291702569
2024-12-02,1,2,"[-0.5448036789894104, 0.2767126262187958, -0.15033283829689026, 0.8450310826301575, 0.2112262099981308]",0.9502460670471192,0.01816830928201487
2024-12-02,1,3,"[-0.530732274055481, 0.2911396920681, -0.21526765823364258, 0.8027558922767639, 0.1269317865371704]",0.8,0.015083682667645983
2024-12-02,1,4,"[-0.5529536008834839, 0.29220789670944214, -0.14265696704387665, 0.8103868961334229, 0.19269144535064697]",0.8,0.012969266786038106
2024-12-02,1,5,"[-0.5717729330062866, 0.22134865820407867, -0.09920986741781235, 0.7740094065666199, 0.15061894059181213]",0.8,0.013179428413982347
2024-12-02,1,6,"[-0.5273880958557129, 0.2368261069059372, -0.13780754804611206, 0.7904279828071594, 0.1387859582901001]",0.8,0.01679741917956849
2024-12-02,1,7,"[-0.5412797331809998, 0.1834331601858139, -0.18078942596912384, 0.7909353375434875, 0.20896680653095245]",0.8,0.02142656197797702
2024-12-02,1,8,"[-0.6482065320014954, -0.05840277299284935, -0.27772149443626404, 0.7800337076187134, 0.2273617535829544]",0.8,0.021565843586721898
2024-12-02,1,9,"[-0.6534191370010376, -0.16781942546367645, -0.14523470401763916, 0.79149329662323, 0.21825022995471954]",0.8,0.023964792722365024
2024-12-02,1,10,"[-0.6520205140113831, -0.14259521663188934, -0.07303287088871002, 0.8913032412528992, 0.2802218198776245]",0.8,0.0267259335214778
2024-12-02,1,11,"[-0.6844021081924438, -0.24186502397060394, -0.0890204980969429, 0.9011074900627136, 0.35517382621765137]",0.8,0.03043093265912376
2024-12-02,1,12,"[-0.7394864559173584, -0.2121502012014389, -0.16295884549617767, 0.9199807047843933, 0.32289499044418335]",0.8,0.03516044868019048
2024-12-02,1,13,"[-0.7778663039207458, 0.02685471810400486, -0.15872806310653687, 0.9635558724403381, 0.3198207914829254]",0.8,0.029981315839459385
2024-12-02,1,14,"[-0.8119550347328186, -0.04638465866446495, -0.24588775634765625, 0.8957058787345886, 0.22580638527870178]",0.8,0.02718777592570702
2024-12-02,1,15,"[-0.7394192814826965, -0.29168224334716797, -0.2339431345462799, 0.8780730366706848, 0.33200323581695557]",0.8,0.024463528521607922
2024-12-02,1,16,"[-0.7000753283500671, -0.017195094376802444, -0.14522458612918854, 0.9092509150505066, 0.3039604723453522]",0.8,0.01687819241256028
2024-12-02,1,17,"[-0.6022735238075256, 0.18712547421455383, -0.012721537612378597, 0.890253484249115, 0.27866074442863464]",0.8,0.01861649271874225
2024-12-02,1,18,"[-0.6368886828422546, 0.23439918458461761, -0.18078207969665527, 0.8643472194671631, 0.23662085831165314]",0.8,0.017381021697244477
2024-12-02,1,19,"[-0.662623405456543, 0.16922608017921448, 0.021585404872894287, 0.8775267004966736, 0.17816536128520966]",0.8,0.01763560598061244
2024-12-02,1,20,"[-0.7009427547454834, 0.13058774173259735, -0.033041439950466156, 0.8700494170188904, 0.20495794713497162]",0.8,0.01804016296526892
2024-12-02,1,21,"[-0.6571536064147949, 0.19145391881465912, -0.07049881666898727, 0.8710499405860901, 0.191038116812706]",0.8,0.01666995485980846
2024-12-02,1,22,"[-0.6643277406692505, 0.1989922970533371, -0.01661083847284317, 0.872873842716217, 0.16910897195339203]",0.8,0.015504611246540304
2024-12-02,1,23,"[-0.6368166208267212, 0.1755545735359192, -0.02869528718292713, 0.8528696894645691, 0.11732351779937744]",0.8,0.015460609139640785
2024-12-02,1,24,"[-0.6542813777923584, 0.20784620940685272, -0.010980715975165367, 0.8672727346420288, 0.13315679132938385]",0.8,0.014375481145002141
